round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,first_neuron
100,0.6493174405617255,0.6751739978790283,0.43866145197796086,0.7896311,relu,10,12
100,0.6406286371106891,0.6635730862617493,0.48158197988898066,0.7407777,relu,10,24
100,0.7319488880330407,0.642691433429718,0.3330777745214797,0.8534397,relu,10,48
100,0.607023175520576,0.6658932566642761,0.4790573697741462,0.73878366,relu,20,12
100,0.6345523508684817,0.6473317742347717,0.4491492254011415,0.7666999,relu,20,24
100,0.7413303218695514,0.6125289797782898,0.34389545122980475,0.8384845,relu,20,48
100,0.6056710353030406,0.6728538274765015,0.49323647703273465,0.7407777,relu,30,12
100,0.6256321692134831,0.6519721746444702,0.4304956749809585,0.780658,relu,30,24
100,0.6523773235953878,0.6403712034225464,0.4052344501791067,0.80458623,relu,30,48
100,0.6083438658909635,0.6519721746444702,0.512274530895448,0.6939182,elu,10,12
100,0.614248838630049,0.6589326858520508,0.5077379494756906,0.7098704,elu,10,24
100,0.6132885353756408,0.6682134866714478,0.4931428860037301,0.70089734,elu,10,48
100,0.5964447407877362,0.6658932566642761,0.5221718534871802,0.69990027,elu,20,12
100,0.5948762218802821,0.6728538274765015,0.5267615685256148,0.7078764,elu,20,24
100,0.6023588428087965,0.6566125154495239,0.504704058229745,0.70089734,elu,20,48
100,0.593501487906737,0.6774942278862,0.5283131594077897,0.6919242,elu,30,12
100,0.593557293204863,0.6728538274765015,0.5242824716677338,0.69491524,elu,30,24
100,0.602747440199841,0.6682134866714478,0.5125731492446641,0.7128614,elu,30,48
